Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Schaub, JessicaJE",Micro-shear wave elastography imaging for biomechanical assessment of 3D cardiac microtissue models,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Schiebinger, Geoffrey",Towards a mathematical theory of development,"41,000",2022-2023,Discovery Grants Program - Individual
"Schluter, Dolph",Evolution of species interactions in adaptive radiation,"95,000",2022-2023,Discovery Grants Program - Individual
"Schmidt, Mark",Hyper-fast hyper-parameter tuning for the next generation of machine learning,"55,000",2022-2023,Discovery Grants Program - Individual
"Schmidt, Mark",Large-Scale Machine Learning,"100,000",2022-2023,Canada Research Chairs
"Scholes, Rachel",Stormwater infrastructure for treatment of emerging trace organic contaminants,"12,500",2022-2023,Discovery Launch Supplement
"Scholes, Rachel",Stormwater infrastructure for treatment of emerging trace organic contaminants,"27,000",2022-2023,Discovery Grants Program - Individual
"Schoof, Christian",Hydraulic and mechanical controls on fast glacier flow,"139,510",2022-2023,Discovery Grants Program - Individual
"Schoof, ChristianCG","Glacier Lake Outburst Floods, Subglacial drainage, Glacier surges","15,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Schulte, Patricia",Urgent replacement of real-time PCR machine,"35,690",2022-2023,Research Tools and Instruments
"Schulte, Patricia",Responses of Fish to a Changing Environment,"200,000",2022-2023,Canada Research Chairs
"Schultz, JasonJDGS",Machine Learning Supported Parameter Optimization for Operationally Stable Perovskite Solar Cells,"6,000",2022-2023,University Undergraduate Student Research Awards
"Schwartz, Naomi",Fire versus water: ecosystem boundaries in tropical forest landscapes,"28,000",2022-2023,Discovery Grants Program - Individual
"Scoates, James",Mafic magmatism in layered intrusions through time and space,"86,000",2022-2023,Discovery Grants Program - Individual
"Scott, Douglas",Challenging the standard cosmological model,"75,000",2022-2023,Discovery Grants Program - Individual
"Scott, SabrinaSS",A Multidisciplinary Approach to Catalyst Design for Improve Sustainability of Amine Containing Fine Chemical Synthesis.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Scott, SandraS",The University of British Columbia Intergenerational Landed Learning Project,"103,800",2022-2023,PromoScience
"Sediako, DimitryDG",Analysis and Optimization of Electrolytic Jet Plasma Oxidation (EJPO) Coating for Manufacturing of High-Efficiency Automotive Engines,"20,176",2022-2023,Alliance Grants
"Seethaler, Rudolf",Design of ultra-high-speed observer-based micro positioning systems,"64,000",2022-2023,Discovery Grants Program - Individual
"SegoviaUgarte, RomuloRSU","The genome and biodiversity of an important Andean tuber crop, Ullucus tuberosus (Basellaceae)","35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Sekhon, ParneetPS",Development of optimized LNPs for gene editing in phagocytes,"6,000",2022-2023,University Undergraduate Student Research Awards
"Seltzer, Margo",Canada 150 Research Chair in Computer Systems,"1,000,000",2022-2023,Canada 150 Research Chairs
"Seltzer, Margo",VELOSITY: A New Architecture for Operating System Design and Implementation,"48,000",2022-2023,Discovery Grants Program - Individual
"Semenoff, Gordon","Particles, Fields and Strings","85,000",2022-2023,Subatomic Physics Envelope - Individual
"Sexton, DanielleDL",Characterizing DNA segregation in Streptomyces using advanced structural approaches,"45,000",2022-2023,Postdoctoral Fellowships
"Shadwick, Robert","Integrative Biomechanics of Marine Mammals; Adaptations for Feeding, Diving, and Hearing in Whales","65,000",2022-2023,Discovery Grants Program - Individual
"Shahrad, Mohammad",From Serverless to Seamless: Building the Next-Generation of Cloud Systems by Eliminating Service Integration and Resource Heterogeneity Limitations,"24,000",2022-2023,Discovery Grants Program - Individual
"Shahraki, NikiNS",Role of Inflammation in postpartum depression,"6,000",2022-2023,University Undergraduate Student Research Awards
"Shahriari, Dena",Technological advances for the neuromodulation of the spinal cord,"26,000",2022-2023,Discovery Grants Program - Individual
"Shahriari, Dena",Technological advances for the neuromodulation of the spinal cord,"12,500",2022-2023,Discovery Launch Supplement
"Shakiba, Nika",Curbing the Emergence of Clonal Drift in Stem Cell Expansion Culture,"37,000",2022-2023,Discovery Grants Program - Individual
"Shave, Rob",Mammalian cardiac structure and function: The influence of evolutionary selection and prevailing hemodynamics,"40,000",2022-2023,Discovery Grants Program - Individual
"Shechter, Stephen",Analytics for Managing Health Care Wait Lists: Predictive and Prescriptive Approaches,"26,000",2022-2023,Discovery Grants Program - Individual
"Shee, JennyJB",The primary cilium and the role in skeletal development,"6,000",2022-2023,University Undergraduate Student Research Awards
"Sheel, Andrew",Respiratory and neurovascular adaptation to physiological stress,"78,000",2022-2023,Discovery Grants Program - Individual
"Sheffer, Alla",Broad-Based Computational Shape Design,"148,000",2022-2023,Discovery Grants Program - Individual
"Shehata, Mohamed",Advancing Object Detection and Tracking Frontiers in Intelligent Vision-Based Applications,"33,000",2022-2023,Discovery Grants Program - Individual
"Shekhar, Sudip",Integrated Circuits for Large Arrays,"33,000",2022-2023,Discovery Grants Program - Individual
"Shekhar, SudipS",Advanced-modulation circuits for low-power scalable wireline transceivers,"45,243",2022-2023,Collaborative Research and Development Grants
"Shekhar, SudipS",Electronic-photonic integrated circuits for on-chip optical isolation,"74,500",2022-2023,Collaborative Research and Development Grants
"Shen, JunzhouJ",Determinants of mitotic bookmarking by transcription factors,"6,000",2022-2023,University Undergraduate Student Research Awards
"Shen, ZeHuaZ",Deep Learning for Video-based Monitoring in Parkinson's Disease: Hand Pose Estimation and Tracking,"6,000",2022-2023,University Undergraduate Student Research Awards
"Shepherd, Bruce",New Synergies Between Combinatorial and Continuous Optimization,"41,000",2022-2023,Discovery Grants Program - Individual
"Shi, Xiaoping",Nonparametric statistical methods based on graph theory,"18,000",2022-2023,Discovery Grants Program - Individual
"Shing, ConanLokHonCLHS",Human cardiorespiratory adaptation to intermittent hypercapnia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Shmerkin, Pablo","New connections between Fractal Geometry, Harmonic Analysis and Ergodic Theory","37,000",2022-2023,Discovery Grants Program - Individual
"Shortill, ShawnSP",Identifying pathway-specific roles of endosomal tethering factors in a budding yeast model,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Shwartz, Vered",Commonsense Reasoning in Natural Language Processing,"12,500",2022-2023,Discovery Launch Supplement
"Shwartz, Vered",Commonsense Reasoning in Natural Language Processing,"34,000",2022-2023,Discovery Grants Program - Individual
"Siddiqua, Sumi",Climatic effects and road subgrade stabilization,"43,000",2022-2023,Discovery Grants Program - Individual
"Siddiqua, SumiS",Bio-mediated treatment of organic soil with fungal strain Penicillium Chrysogenum and wood fly ash,"25,000",2022-2023,Alliance Grants
"Siegmund, Gunter",Engineering Approaches to Preventing or Mitigating Whiplash Injuries,"80,000",2022-2023,Discovery Grants Program - Individual
"Sigal, Leonid",Canada Research Chair in Computer Vision and Machine Learning,"120,000",2022-2023,Canada Research Chairs
"Sigal, Leonid",Web-Scale Semantic Image and Video Understanding,"82,000",2022-2023,Discovery Grants Program - Individual
"Silberman, Lior","Symmetric spaces, topology and analysis","21,000",2022-2023,Discovery Grants Program - Individual
"Simard, Suzanne","Novel forestry practices for mitigating global change: investigating effects of legacy trees on plant-soil microbial networks, carbon cycling and forest recovery","40,000",2022-2023,Discovery Grants Program - Individual
"Sinclair, ChadwickW",Creation of Defect Phase Diagrams for Ordered Laves Phases,"25,000",2022-2023,Alliance Grants
"Sinclair, ElisciaESL",Exploring the anchoring and adjustment heuristic in children,"6,000",2022-2023,University Undergraduate Student Research Awards
"Singla, RohitRK",Intelligent Renal Ultrasound: Development of Ultrasound-based Measures Using Machine Learning to Prevent Renal Disease Progression,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Sirohey, SofiaSA",Exploring Bulky Pi-Donating Ligands for the Isolation of a Phosphinidene Sulfide,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Sismondo, ClaraCMM",Geochemical indicators of serpentine protoliths,"6,000",2022-2023,University Undergraduate Student Research Awards
"Smit, Matthijs",Applied Geochemistry of the Lithosphere,"100,000",2022-2023,Canada Research Chairs
"Smit, Matthijs",The evolving composition and tectonics of the continental crust,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Smit, Matthijs",The evolving composition and tectonics of the continental crust,"36,000",2022-2023,Discovery Grants Program - Individual
"Smith, CeilidhCEBS",Wildfire Fuels and Fire Regimes in British Columbia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Smith, Kevin",Catalysis in two dimensions for clean energy,"110,000",2022-2023,Discovery Grants Program - Individual
"Smukler, Sean",Field deployable instrumentation for spatiotemporal quantification of greenhouse gas emissions,"143,263",2022-2023,Research Tools and Instruments
"Smukler, SeanSM",Quantifying greenhouse gas emission reduction potential of a novel manure additive,"20,000",2022-2023,Alliance Grants
"Snyder, Jason",Neuronal turnover and plasticity in the hippocampal dentate gyrus,"47,000",2022-2023,Discovery Grants Program - Individual
"Snyman, SimonSS",Data Sharpening for Nonparametric Time Series Models,"6,000",2022-2023,University Undergraduate Student Research Awards
"Sodhi, NavnoorNS",Impacts of M9 Cascadia Subduction Zone Earthquakes on the Seismic Risk of Vancouver's Tall Buildings,"6,000",2022-2023,University Undergraduate Student Research Awards
"Sokhansanj, Shahab",Biomass pelletization and logistics,"55,000",2022-2023,Discovery Grants Program - Individual
"Solymosi, Jozsef",Geometric and algebraic methods in Erdos type problems,"82,000",2022-2023,Discovery Grants Program - Individual
"Soma, Kiran",Glucocorticoids and development of the immune system,"47,000",2022-2023,Discovery Grants Program - Individual
"Song, HyungMinHM",The effect of an arrhythmia-associated mutation in the cardiac pacemaker channel on cAMP binding,"6,000",2022-2023,University Undergraduate Student Research Awards
"Song, Liang",A Quantitative platform to expedite gene and genomic discovery from model species to crops and wild berries.,"108,650",2022-2023,Research Tools and Instruments
"Song, Liang",Improving seed traits by understanding and modulating transcription,"45,000",2022-2023,Discovery Grants Program - Individual
"Soskuthy, Marton",How the shapes of words adapt to communicative pressures in spoken language,"33,000",2022-2023,Discovery Grants Program - Individual
"Sossi, Vesna",Enhancing the synergy of in-vivo multimodal brain imaging,"95,000",2022-2023,Discovery Grants Program - Individual
"Sowlati, Taraneh",Coordinated and synchronized operational level planning of forest-based biomass supply chains,"36,000",2022-2023,Discovery Grants Program - Individual
"Speller, Camilla",Mapping long-term patterns of marine biodiversity and complexity through biomolecular analysis of archaeological archives,"52,000",2022-2023,Discovery Grants Program - Individual
"Spering, Miriam",Human eye movements as a model of visual prediction,"94,000",2022-2023,Discovery Grants Program - Individual
"Spotts, IsaacIS",Terahertz subsurface probes,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Srebnik, Simcha","Developing new algorithms and concepts towards understanding protein folding, misfolding, and aggregation","28,000",2022-2023,Discovery Grants Program - Individual
"Srivastava, Diane","Ecological, geographic and phylogenetic dimensions of food webs and their response to global change","65,000",2022-2023,Discovery Grants Program - Individual
"Srivastava, DianeDS","NSERC CREATE in ecology, evolution and environmental science: The Living Data Project","300,000",2022-2023,Collaborative Research and Training Experience
"Stamp, Philip",DECOHERENCE and DISENTANGLEMENT in MACROSCOPIC SYSTEMS,"34,000",2022-2023,Discovery Grants Program - Individual
"Stankiewicz, LauraLN",A spatial multi-omics approach to mapping T-cell development in the human thymus,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Stark, KeilaKA",Understanding and predicting ocean warming impacts on food web dynamics,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"StaubFrench, Sheryl",Supporting the digital delivery of sustainable building projects,"52,000",2022-2023,Discovery Grants Program - Individual
"StaubFrench, SherylSAS",BC Indigenous Youth Pathway Programming and Teacher Professional Development,"200,000",2022-2023,PromoScience
"Steele, AlexanderADS",Large-Scale Numerical Software for Multiphysics Problems,"6,000",2022-2023,University Undergraduate Student Research Awards
"Steele, AndrewAR",The role of nitric oxide in cerebral blood flow regulation in acute and chronic hypoxia,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Stefanska, Barbara",Diet and the epigenome: Investigating the impact of the environment on cell biology,"41,000",2022-2023,Discovery Grants Program - Individual
"Stewart, LilianeLSS",Assessing Fe bioavailability in a coastal upwelling region,"6,000",2022-2023,University Undergraduate Student Research Awards
"Stewart, NoahNC","A 3D, Microwell In Vitro Model to Screen Biomaterials for Organized Neurite Regeneration","6,000",2022-2023,University Undergraduate Student Research Awards
"Stirling, Peter",Nuclear protein quality control mechanisms during genotoxic stress,"58,000",2022-2023,Discovery Grants Program - Individual
"Stirling, Peter",Nuclear protein quality control mechanisms during genotoxic stress,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Stoeber, Boris",Microfluidics and Sensing Technology,"100,000",2022-2023,Canada Research Chairs
"Stoeber, Boris",Insights into poroelastic media flow,"46,000",2022-2023,Discovery Grants Program - Individual
"Stokes, AbigailLisaALS",Simultaneous recovery of biogas and biocrude from human waste,"6,000",2022-2023,University Undergraduate Student Research Awards
"StPierre, KyraKAM",What happens on land does not stay on land: towards the integration of biogeochemical cycles at the land-ocean interface,"40,833",2022-2023,Banting Postdoctoral Fellowships Tri-council
"Straus, Suzana",Novel Antimicrobial Host Defense Peptides: Design and Immunomodulatory Function,"29,000",2022-2023,Discovery Grants Program - Individual
"Suarez, HalleyHS",Climate change impacts on accessibility in Northern Canada,"6,000",2022-2023,University Undergraduate Student Research Awards
"Suen, CissyTinHungCTS",Exploring the electronic structure of the non-equilibrium state of Ca2RuO4,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Sugioka, Kenji",Molecular basis of cell cycle timers and their coordination during organogenesis,"30,000",2022-2023,Discovery Grants Program - Individual
"Sullivan, KaitlinKES",Mapping the cell-type-specific rules of memory.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Sullivan, RaelynRM",The largest scales in the Universe: Studying the relativistic effects of our motion and deviations from theory to reveal new physics,"31,500",2022-2023,Postgraduate Scholarships - Doctoral
"Sumaila, URashid",Interdisciplinary Ocean and Fisheries Economics,"200,000",2022-2023,Canada Research Chairs
"Summers, Alexander",Deductive Verification Across the Stack,"40,000",2022-2023,Discovery Grants Program - Individual
"Sun, EthenE",Towards ATLAS ITk module testing at UBC,"6,000",2022-2023,University Undergraduate Student Research Awards
"Sunthareswaran, DilanDS",Forage fish nutrition and marine food web health,"6,000",2022-2023,University Undergraduate Student Research Awards
"Surjanovic, NikolaN",Scalable Bayesian Methods for Sampling From Complex Probability Distributions,"100,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Sutherland, Danica",Learning Better Representations With Kernels,"29,000",2022-2023,Discovery Grants Program - Individual
"Suttle, Curtis",Viral discovery and unlocking the role of viruses in taxon-specific microbial mortality,"69,000",2022-2023,Discovery Grants Program - Individual
"Sutton, AnnikaAG",Building the early stages of a sepsis diagnostic,"6,000",2022-2023,University Undergraduate Student Research Awards
"Swei, Omar",Sustainable Management of Infrastructure Assets and Networks Under Uncertainty,"26,000",2022-2023,Discovery Grants Program - Individual
"Taberna, ThristanPauloTP",Developing a scalable cell manufacturing process to produce multipotent blood progenitors from pluripotent stem cells,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Taghipour, Fariborz",UV-LED Photoreactors for Environmental Monitoring and Treatment,"64,000",2022-2023,Discovery Grants Program - Individual
"Taghipour, FariborzF",Advanced Sensing Layer for the Selective Detection of Organic Contaminants in Water,"25,000",2022-2023,Alliance Grants
"Taghipour, FariborzF",Development and Evaluation of Photo-Activated Sensors for Monitoring Soil Nutrients,"99,000",2022-2023,Alliance Grants
"Taiebat, Mahdi","Understanding, characterization, modeling, and simulation of the spontaneous failure of tailings dams","62,000",2022-2023,Discovery Grants Program - Individual
"Takahata, Kenichi",Medical Microsystems and Enabling Technologies for Precision Medicine,"55,000",2022-2023,Discovery Grants Program - Individual
"Takahata, KenichiK",Side-viewing endoscopic catheter with distal micro rotary scanner for minimally invasive high-resolution intraluminal imaging,"60,000",2022-2023,Idea to Innovation
"Tam, Roger",Integration of Heterogeneous Data in Artificial Neural Networks for Image Classification,"56,000",2022-2023,Discovery Grants Program - Individual
"Tamelin, KristynKH",FluTO: A next generation tool for imaging and analyzing microbial glycan foraging,"6,000",2022-2023,University Undergraduate Student Research Awards
"Tanentzapf, Guy",Genetic analysis of the cell biological basis of sperm morphogenesis.,"138,000",2022-2023,Discovery Grants Program - Individual
"Tang, JunsongJST",Statistical Modelling of Watershed Data,"6,000",2022-2023,University Undergraduate Student Research Awards
"Tannant, Dwayne",Identifying geohazards in glaciated valleys and building rural community resilience via bare-earth point cloud analysis and eco-sensitive mitigation,"36,000",2022-2023,Discovery Grants Program - Individual
"Tannant, DwayneD",Debris flow mitigation - adapting to climate change and wildfires,"117,000",2022-2023,Alliance Grants
"Tanner, Martin",Studies on Enzyme Mechanism and Antibiotic Resistance Strategies,"36,000",2022-2023,Discovery Grants Program - Individual
"Tattersall, ErinER",Eyes and ears of the forest: developing a wildlife monitoring framework to support biodiversity conservation in Indigenous Protected and Conserved Areas,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Tattersall, ErinER",Eyes and ears of the forest: developing a wildlife monitoring framework to support biodiversity conservation in Indigenous Protected and Conserved Areas,"10,000",2022-2023,Postgraduate Scholarships - Doctoral
"Taubert, Stefan",Function and regulation of lipid metabolism in C. elegans,"116,000",2022-2023,Discovery Grants Program - Individual
"Tavakoli, Javad",Queueing Models and Performance Analysis -- Telecommunication Systems and Other Applications,"52,000",2022-2023,Discovery Grants Program - Individual
"Taylor, DeclanDDT",Effects of long-term experimental warming on bryophyte diversity in high Arctic tundra,"6,000",2022-2023,University Undergraduate Student Research Awards
"Taylor, Eric",Molecular phylogeny and speciation in a regional fauna,"124,460",2022-2023,Discovery Grants Program - Individual
"Tellier, LouisPhillipLPF",An integrated analysis of different esophageal diseases at the single-cell level,"6,000",2022-2023,University Undergraduate Student Research Awards
"Tesfamariam, Solomon",A novel framework for multi-hazard performance-based design of sustainable and resilient tall timber and hybrid buildings,"43,000",2022-2023,Discovery Grants Program - Individual
"Tesfamariam, SolomonS",Performance-Based Design of Tall Mass Timber Buildings Under Earthquake and Fire Loads,"120,000",2022-2023,Alliance Grants
"Tesfamariam, SolomonS",Performance-based timber building design - Fire and Earthquake MH consideration,"25,000",2022-2023,Alliance Grants
"Tetzlaff, Wolfram",Circuit-level control of forelimb motor behaviour and plasticity following injury,"94,000",2022-2023,Discovery Grants Program - Individual
"Teves, Sheila",Evolution and divergence of TBP-mediated transcription activation mechanisms,"41,000",2022-2023,Discovery Grants Program - Individual
"Thachuk, Mark",Theory and Application of Coarse Graining,"24,000",2022-2023,Discovery Grants Program - Individual
"Thorogood, Miles",Echo - A New Set of High-level Audio Features for Computational Sound Design Systems,"24,000",2022-2023,Discovery Grants Program - Individual
"Thrampoulidis, Christos",Fundamentals of Modern Machine Learning: A Precise High-dimensional Approach,"44,000",2022-2023,Discovery Grants Program - Individual
"Tien, KristenKT",Characterizing two new regulators of seed size,"6,000",2022-2023,University Undergraduate Student Research Awards
"Tobber, Lisa",Seismic design of novel precast walls for high-rise buildings,"27,000",2022-2023,Discovery Grants Program - Individual
"Tobber, Lisa",Seismic design of novel precast walls for high-rise buildings,"12,500",2022-2023,Discovery Launch Supplement
"Tobber, LisaL",Development of Canadian seismic design procedures for precast shear wall buildings,"46,800",2022-2023,Alliance Grants
"Tocheva, Elitza",Mechanisms of membrane biogenesis and peptidoglycan remodeling during sporulation,"43,080",2022-2023,Discovery Grants Program - Individual
"Tocheva, ElitzaE",Mechanisms for antibiotic tolerance and envelope remodeling in Gram-negative bacteria,"25,000",2022-2023,Alliance Grants
"Todd, Rebecca",Contextual guidance of attention by emotional information,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Todd, Rebecca",Contextual guidance of attention by emotional information,"40,000",2022-2023,Discovery Grants Program - Individual
"Tokuyama, Maria",Specialized functions of endogenous retroviruses in innate immune cells,"41,000",2022-2023,Discovery Grants Program - Individual
"Tortell, Philippe",Patterns and processes of primary productivity and trace gas dynamics in subpolar and polar oceans,"61,000",2022-2023,Discovery Grants Program - Individual
"Tortell, Philippe",Patterns and processes of primary productivity and trace gas dynamics in subpolar and polar oceans,"16,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Tortell, Philippe",A sea-going mass spectrometer for the analysis of climate-active trace gases in surface ocean waters,"52,152",2022-2023,Research Tools and Instruments
"Tortell, PhilippePD",Catalyzing a Canada - Chile coastal ocean research network,"25,000",2022-2023,Alliance Grants
"Tortell, PhilippePD",Pacific Rim Ocean Data Mobilization and Technology (PRODIGY),"300,000",2022-2023,Collaborative Research and Training Experience
"Towriss, MorganMET",Lax Kw'alaams STEM Workshops,"5,000",2022-2023,Aboriginal Ambassadors in the Natural Sciences and Engineering Supplement
"Trajano, Heather",Production of Premium Bio-Chemicals from the Canadian Forest,"28,000",2022-2023,Discovery Grants Program - Individual
"Tran, Martino",Computational Urban Science and Planning,"120,000",2022-2023,Canada Research Chairs
"Tran, Martino",Managing future risk and interdependency in urban systems,"48,000",2022-2023,Discovery Grants Program - Individual
"TraversSmith, HanaHZTS",Modeling carbon dynamics along the boreal-tundra ecotone,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Tretjakov, SamuelSMT",Myosin VI at the blood-testis barrier,"6,000",2022-2023,University Undergraduate Student Research Awards
"Trevorrow, RoryRM",Epigenetic responses to muscle damage and the effect of short term training,"6,000",2022-2023,University Undergraduate Student Research Awards
"Troczynski, Tom",Process Engineering for Advanced Chemically Bonded Ceramics (CBC),"33,000",2022-2023,Discovery Grants Program - Individual
"Tropini, Carolina",Determining mechanisms underlying bacteriophage dynamics during abiotic perturbation.,"37,000",2022-2023,Discovery Grants Program - Individual
"Truong, DennisDT",The neural circuits underlying Drosophila short-term visual memory,"6,000",2022-2023,University Undergraduate Student Research Awards
"Tsai, TaiPeng","Bifurcation, uniqueness and regularity for differential equations with critical and supercritical drifts","20,000",2022-2023,Discovery Grants Program - Individual
"Tseng, Michelle",Multi-species responses to warming,"33,000",2022-2023,Discovery Grants Program - Individual
"Tsvetkov, NadejdaNT",The effects of neonicotinoid exposure on nicotinic acetylcholine receptor composition and cognition in honey bees,"45,000",2022-2023,Postdoctoral Fellowships
"Tu, Qingshi",Quantifying synergy and tradeoff between resource efficiency and climate change: Filling the fundamental knowledge gap in systems analysis and uncertainty treatment,"26,000",2022-2023,Discovery Grants Program - Individual
"Tucsok, MatthewMDF",Artificial Intelligence-enhanced Data Collection for Sub-centimeter Aerial Photogrammetry,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"TullochMcShane, VivitskaiaV",Ecosystem-based models to inform tactical management: new solutions to prevent decline of threatened and endangered resident killer whales in multiple-use areas,"110,833",2022-2023,Banting Postdoctoral Fellowships Tri-council
"Tully, AlexandraABT",An investigation of charge-transfer dynamics in organic photovoltaics using time- and angle-resolved photoemission spectroscopy and scanning tunnelling microscopy,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Tyson, Rebecca",Resilience of Cyclic Ecosystems in the Presence of R- and P-Tipping,"31,000",2022-2023,Discovery Grants Program - Individual
"Uhl, Alexander",Solution-Processed Thin Film Semiconductors for Photovoltaic and Photoelectrochemical Applications,"28,000",2022-2023,Discovery Grants Program - Individual
"Ulrich, JensJC",Impacts of flower enhancements on the stability of plant-pollinator interaction networks and pollination services.,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Unruh, William",Quantum Mechanics and Gravity,"140,000",2022-2023,Discovery Grants Program - Individual
"Upham, David",Understanding sustainable catalytic processes on complex melts to produce chemicals and power,"28,000",2022-2023,Discovery Grants Program - Individual
"Uribe, Carlos",Towards personalized medicine with theranostics: quantitative molecular imaging and artificial intelligence,"24,000",2022-2023,Discovery Grants Program - Individual
"Urquhart, CarlaCA",Determining the influence of selective and neutral evolutionary processes on the predictability of range expansion,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Vallance, Bruce",Defining a novel skin-gut axis that controls immune and microbial homeostasis in the mammalian GI tract.,"116,000",2022-2023,Discovery Grants Program - Individual
"vandePanne, Michiel",Learning to Move: Skill Design for Animation and Robotics,"74,000",2022-2023,Discovery Grants Program - Individual
"vandePanne, Michiel",Learning to Move: Skill Design for Animation and Robotics,"40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"VanderBurg, KarinKR","The genetics, physiology and evolution of diapause","29,167",2022-2023,Banting Postdoctoral Fellowships Tri-council
"VanDerMinne, ColtonCCV",Clayoquot Sound Chinook and Sockeye Smolt Assessment: Ha'uukmin/Kennedy Watershed,"6,000",2022-2023,University Undergraduate Student Research Awards
"VanRaamsdonk, Mark",Gravity and Entanglement,"75,000",2022-2023,Subatomic Physics Envelope - Individual
"VanRumpt, RachelleRL",Quiet Eye in Minimally Invasive Surgery,"6,000",2022-2023,University Undergraduate Student Research Awards
"VanStone, KalliKL",Sqilxwcawt calendar mobile application design,"6,000",2022-2023,University Undergraduate Student Research Awards
"VanWaerbeke, Ludovic",Baryons and Non Conventional Dark Matter,"41,000",2022-2023,Discovery Grants Program - Individual
"vanWersch, RowanRHVW",Identification and characterization of SAN (Suppressors of anp2 anp3) proteins in plant immunity,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"vanWilligenburg, Stephanie",Resolutions of positivity in Hopf algebras,"31,000",2022-2023,Discovery Grants Program - Individual
"Vaseli, HoomanHV",Reducing Risks of Automatic Measurement and Analysis of POCUS Data in the Presence of Uncertainty,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Vassallo, ReidRF",Video processing to investigate vascular dynamics in cerebrovascular surgical intervention,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Vatsal, Vinayak","Toric periods, modular forms, and number theory","19,000",2022-2023,Discovery Grants Program - Individual
"Vayman, EthanEGV",Wildfire Fuels and Fire Regimes in British Columbia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Vaziri, Reza",An Integrated Digital Framework for Manufacturing and Design of Composite Structures under Crash and Impact Loading,"46,000",2022-2023,Discovery Grants Program - Individual
"Veiga, Marcello",Cyanogenic Plants to Extract Gold: an Alternative for Artisanal MIners,"46,000",2022-2023,Discovery Grants Program - Individual
"Ventura, Carlos",Structural Health Monitoring in Performance Based Design of Bridges,"52,000",2022-2023,Discovery Grants Program - Individual
"VirjiBabul, Naznin",Brain dynamics under resting state and naturalistic conditions from childhood to adolescence,"28,000",2022-2023,Discovery Grants Program - Individual
"Viveiros, EdenEMV",Resource competition and evolution,"6,000",2022-2023,University Undergraduate Student Research Awards
"Vogl, Adalbert",Cytoskeletal/junction relationships during epithelial remodelling events,"100,000",2022-2023,Discovery Grants Program - Individual
"vonKeyserlingk, Marina","Mood states in animals, exploring individual and external factors that promote resilience","55,000",2022-2023,Discovery Grants Program - Individual
"vonKeyserlingk, MarinaMAG",NSERC Industrial Research Chair in Dairy Cattle Welfare,"147,218",2022-2023,Industrial Research Chairs
"Vu, Ly",Post-transcriptional regulation of hematopoietic stem cell function and cell fate determination during hematopoiesis,"30,000",2022-2023,Discovery Grants Program - Individual
"Wachs, Anthony",High fidelity micro- and meso-scale computations and data-driven physics-informed models of particle-laden flows,"46,000",2022-2023,Discovery Grants Program - Individual
"Waddell, ChrisCNH",AdS/BCFT: Foundations and Applications,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
