Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects
"Sundstrom, Lisa McIntosh",The University of British Columbia,Everyday Activism in Russia: Civil Society Thirty Years After Communism's Collapse,"$24,796.00",2022-2023,435
"Symmers, Callie A.",The University of British Columbia,Assessing the Distributional Impacts of Natural Disasters on Household Debt: A Case Study of the 2021 British Columbia Floods,"$17,500.00",2022-2023,766
"Symons, Danielle E.",The University of British Columbia,Testifying to the Post-Fact: Ethics and Authenticity in Contemporary British Historical Fiction,"$17,500.00",2022-2023,766
"Szkup, Michal",The University of British Columbia,"Understanding Self-Fulfilling Debt Crises: The Role of Contagion, Information, and Liquidity Support","$11,400.00",2022-2023,435
"ten Brinke, Leanne",The University of British Columbia,Emotional Survivor Effect: How Evolving Public Discourse Impacts the Perceived Credibility of Sexual Assault Disclosures,"$31,525.00",2022-2023,430
"Tenenboim, Ori",The University of British Columbia,"Publicly, Privately, or In-Between: How People Engage with News in Different Digital Spaces","$16,438.00",2022-2023,430
"Tessier, Anne-Michelle",The University of British Columbia,"Learning French Liaison: the roles of input, grammar and frequency","$13,078.00",2022-2023,435
"Thauberger, Althea",The University of British Columbia,Archival Practices and The Networked Image,"$48,121.00",2022-2023,611
The University of British Columbia,The University of British Columbia,Archives 4.0: Artificial Intelligence for Trust in Records and Archives,"$493,740.00",2022-2023,895
The University of British Columbia,The University of British Columbia,Canada's Immuno-Engineering and Biomanufacturing Hub: Engineering Immunity for Pandemic Responses,"$375,000.00",2022-2023,955
The University of British Columbia,The University of British Columbia,"Co-Curricular-Making: Honouring Indigenous Connections to Land, Culture, and the Relational Self","$219,412.00",2022-2023,895
The University of British Columbia,The University of British Columbia,Engendering success in STEM:  a research consortium for gender equality in science and technology,"$374,728.00",2022-2023,895
The University of British Columbia,The University of British Columbia,Ensuring Full Literacy in a Multicultural and Digital World,"$360,000.00",2022-2023,895
The University of British Columbia,The University of British Columbia,From the ground up:  East Asian religions through multi-media sources and interdisciplinary perspectives,"$296,146.00",2022-2023,895
The University of British Columbia,The University of British Columbia,Global Journalism Innovation Lab: Revitalizing journalism and accelerating knowledge mobilization from Canadian universities,"$415,109.00",2022-2023,895
The University of British Columbia,The University of British Columbia,Green shipping:  governance and innovation for a sustainable maritime supply chain,"$400,350.00",2022-2023,895
The University of British Columbia,The University of British Columbia,No title - Aucun titre,"$341,069.00",2022-2023,633
The University of British Columbia,The University of British Columbia,Scaling up Trauma and Violence Informed Outreach with Women Affected by Violence,"$499,968.00",2022-2023,895
The University of British Columbia,The University of British Columbia,The hidden costs of supply chains:  a global investigation,"$368,719.00",2022-2023,895
The University of British Columbia,The University of British Columbia,The Transformative Memory International Network,"$20,000.00",2022-2023,895
The University of British Columbia,The University of British Columbia,The Transformative Memory International Network,"$211,919.00",2022-2023,895
The University of British Columbia,The University of British Columbia,"Towards Barrier-Free Communities : A Partnership for Improving Mobility, Access and Participation (MAP) Among People with Disabilities","$356,529.00",2022-2023,895
The University of British Columbia,The University of British Columbia,TYDE:  transitioning youth with disabilities and employment,"$125,000.00",2022-2023,896
"Thobani, Sunera",The University of British Columbia,The Cinematic Lives of Islam and Muslims,"$21,720.00",2022-2023,435
"Thompson, Regan S.I.",The University of British Columbia,A fall from grace? Examining the long-term effects of ballet training on young dancers' body image in Canada.,"$17,500.00",2022-2023,766
"Thomson, Alexander R.",The University of British Columbia,Towards Decolonization: Dismantling Colonial Masculinities in Contemporary Canadian Literature,"$17,500.00",2022-2023,766
"Thorimbert, Claire M.",The University of British Columbia,Analysis of Physiological Health and Diet in Post-Black Death London at St Mary Spital,"$17,500.00",2022-2023,766
"Thrush, Coll",The University of British Columbia,Wrecked: Ecologies of Failure in the Graveyard of the Pacific,"$5,537.00",2022-2023,435
"Timler, Kelsey M.",The University of British Columbia,Growing together: Strengthening foodways and legal traditions for wellbeing through a participatory gardening and culinary program with justice-involved Indigenous women,"$30,000.00",2022-2023,752
"Tobber, Lisa",The University of British Columbia,Using Indigenous ways of knowing to design novel structural components and systems ,"$123,625.00",2022-2023,940
"Tomfohr-Madsen, Lianne M.",The University of British Columbia,In the Shadow of the Pandemic: Examining the Impact of COVID-19 Stressors in Pregnancy on Child Socioemotional Development,"$81,107.00",2022-2023,435
"Tracy, Alison E.",The University of British Columbia,The Effect of Co-rumination on Adolescents Friendships and Well-being,"$20,000.00",2022-2023,752
"Tracy, Jessica L.",The University of British Columbia,Are prestige and dominance communicated with distinct nonverbal displays,"$25,250.00",2022-2023,435
"Trainor, Lisa R.",The University of British Columbia,Breaking it down: understanding athlete psychological well-being,"$30,000.00",2022-2023,752
"Trampleasure, Sage L.",The University of British Columbia,"Parental motivations, problematic behaviours, and screen time for young children: A daily-diary investigation","$17,500.00",2022-2023,766
"Travers, Owen J.",The University of British Columbia,"Economic and Environmental Progress, or Human Health Risk? Integrating across tensions between framings of the circular plastic economy in Canada","$17,500.00",2022-2023,766
"Tremblay, Régine",The University of British Columbia,RETHINKING FAMILY LAW: A LEGAL MAPPING OF HOW LAW INCENTIVIZES RELATIONSHIPS AND SUPPORTS FAMILIES IN SELECTED CANADIAN PROVINCES,"$23,048.00",2022-2023,435
"Turcotte-Summers, Jonathan",The University of British Columbia,Education and Antifascism: A Fictionalized Autoethnographic Study of Student Political Organizing,"$20,000.00",2022-2023,752
"Turner, Hannah",The University of British Columbia,The Work of Repair: Making Visible Colonial Legacies in Canadian Museums,"$27,372.00",2022-2023,430
"Turner, Justin",The University of British Columbia,Wildfire Emergency Planning for Dakelh First Nations People in North Central British Columbia,"$52,500.00",2022-2023,767
"Turski, Alice",The University of British Columbia,(Un)inhabitable Environments: Dynamics of Crisis in Environmental Criticism and Literature,"$20,000.00",2022-2023,752
"Tworek, Heidi",The University of British Columbia,A Global Comparative Study of Policies to Protect Democratic Participation on Social Media Platforms,"$40,052.00",2022-2023,435
"Tworek, Heidi",The University of British Columbia,History and Policy of Health Communications,"$120,000.00",2022-2023,950
"Valadares, Desiree",The University of British Columbia,CIRCUITS OF CAPITAL: The Visual Economy of Critical Infrastructures in Alaska and the Canadian Northwest,"$13,350.00",2022-2023,430
"van der Ven, Hamish",The University of British Columbia,Investigating the Impacts of `Clicktivism' on Corporate Environmental Practices,"$33,443.00",2022-2023,430
"van Jaarsveld, Danielle",The University of British Columbia,#F--kthepolice: Introducing expressed occupationalism and its workplace consequences,"$36,032.00",2022-2023,430
"Vasquez Benavides, Winy",The University of British Columbia,The Right to Food in Contested Spaces: Nutrition and Food Sovereignty Inside of Protected Areas in the Peruvian Amazon,"$20,000.00",2022-2023,752
"Verjee, Bianca",The University of British Columbia,Contingency in the Evolution of Human Morality: Why We Ought to Adhere to a Morality That Could Have Been Otherwise,"$17,500.00",2022-2023,766
"Vertinsky, Ilan",The University of British Columbia,The dynamic processes of intellectual  property protection and litigation between partners in inter-firm alliances,"$21,483.00",2022-2023,435
"Vertinsky, Patricia A.",The University of British Columbia,"Owning the human movement system: The historical roots and shoots of Kinesiology's quest to become a regulated health care profession in British Columbia, Canada","$23,223.00",2022-2023,435
"Vesik, Kaili E.",The University of British Columbia,Obstacles to fluency: investigating cognitive linguistic biases and comparing challenges in Estonian second-dialect acquisition by computational model vs human learner,"$20,000.00",2022-2023,752
"Vijayaraghavan, Rajesh",The University of British Columbia,"How does Climate Risks Affect Banks' Loss Accounting, Liquidity, and Lending Decisions?","$14,296.00",2022-2023,435
"Vrhovsek, Zachary D.",The University of British Columbia,The Economic Impact of Climate Change on Canadian Agriculture,"$17,500.00",2022-2023,766
"Wade, Harrison E.",The University of British Columbia,Precarious Images: Streaming Video as Medium of Aesthetic Instability,"$35,000.00",2022-2023,767
"Wagner, John R.",The University of British Columbia,Transboundary Water Governance in the Columbia River Basin,"$4,262.00",2022-2023,435
"Wagner, Katherine R.H.",The University of British Columbia,Equity and Economic Efficiency in Natural Disaster Insurance Markets,"$11,250.00",2022-2023,435
"Waldhauser, Katrina J.",The University of British Columbia,Genetic essentialism in adolescent education,"$35,000.00",2022-2023,767
"Walker, David D.",The University of British Columbia,"And just like that, things got worse?  The role of key moments in service encounters on customer co-production, customer satisfaction, and employee performance","$24,012.00",2022-2023,435
"Walsh, Kathleen E.",The University of British Columbia,Preventing teacher burnout: An investigation into teacher resiliency and well-being,"$35,000.00",2022-2023,767
"Walsh, Zachary",The University of British Columbia,Beyond reefer madness:  capturing the normal cannabis user in a nomological net,"$42,600.00",2022-2023,435
"Walters, Sophia",The University of British Columbia,"Wayich: the Tojolabal Mayan Dreamscape, Language and Connection to Waking Life","$35,000.00",2022-2023,767
"Wang, Fei",The University of British Columbia,Is Culturally Responsive Leadership Culturally Responsive? A Critical Comparative Study between Canada and China,"$11,960.00",2022-2023,435
"Wang, Yanwen",The University of British Columbia,Canadian Research Chair in Marketing Analytics,"$120,000.00",2022-2023,950
"Wang, Ying",The University of British Columbia,"Beyond morphology: Convert disease-related gene networks to pixels in digital pathology to solve the puzzle of ""vulnerable plaques"" that lead to cardiovascular events","$125,000.00",2022-2023,940
"Ward, Shannon",The University of British Columbia,Revitalizing Mother Tongues in Diaspora: Early Childhood Language Socialization among Tibetan Refugees,"$38,889.00",2022-2023,430
"Warren, Mark E.",The University of British Columbia,Workshop on systemic approaches to democracy and democratic innovations,"$12,400.00",2022-2023,611
"Watson, Brian M.",The University of British Columbia,"Advancing Equitable Cataloging: Marginalized Community-Based Participatory Cataloging in Galleries, Archives, Libraries, Museums, and Special Collections.","$50,000.00",2022-2023,770
"Watson, Cristalle N.",The University of British Columbia,The Poems of Boethius' Consolatio in the Ancient Aural Poetic Tradition,"$35,000.00",2022-2023,767
"Webster, Alexis D.",The University of British Columbia,Who's Responding to Your Online Survey? Evaluating Methods to Detect Bots and Problematic Responders,"$17,500.00",2022-2023,766
"Werker, Janet F.",The University of British Columbia,Bilingualism as a lens for understanding lexical development in infancy,"$63,004.00",2022-2023,435
"Wernicke-Heinrichs, Meike",The University of British Columbia,A narrative inquiry into the multilingual lives of French language teacher candidates,"$14,930.00",2022-2023,430
"White, Katherine J.",The University of British Columbia,Using Marketing Communications to Encourage Prosocial Consumer Actions When Ingroup Norms are Low,"$41,780.00",2022-2023,435
"White, Lauren",The University of British Columbia,Swampy Consciousness: Cultivating the Undermind in Contemporary Ecological Art,"$20,000.00",2022-2023,752
"Wilbur, Kerry",The University of British Columbia,Community pharmacists roles in collaborative patient-centred care: a social network analysis,"$21,031.00",2022-2023,430
"Wilke, Nicole",The University of British Columbia,Rethinking Spaces of Education,"$17,500.00",2022-2023,766
"Wilkinson, Michael J.",The University of British Columbia,"Make it Real: Peformance, Technology, and Meaning-Making in Arthur Conan Doyle","$35,000.00",2022-2023,767
"Wilson, Brian S.",The University of British Columbia,Real Utopian experiments in environmentalist sport:  a focus on golf,"$21,854.00",2022-2023,435
"Wisniewski, Tierney N.",The University of British Columbia,When going to school is coming home: A narrative inquiry into experiences of the at-home in education,"$35,000.00",2022-2023,767
"Wittman, Hannah K.",The University of British Columbia,Exploring Ethical Data Governance for Climate Adaptation and Mitigation in Canadian Agriculture,"$45,510.00",2022-2023,611
"Wong, Karen Lok Yi",The University of British Columbia,older adults' access to information and communication technology,"$35,000.00",2022-2023,767
"Wong, Wendy",The University of British Columbia,Sovereignty in the Age of Data Symposium,"$25,000.00",2022-2023,611
"Wood, John Stepan",The University of British Columbia,"Law, Society and Sustainability","$200,000.00",2022-2023,950
"Woolgar, Sarah R.",The University of British Columbia,"An individual, online mentoring program for identity-distressed young adults: The effects of the working alliance and perceptions of technology","$20,000.00",2022-2023,752
"Wright, Celine",The University of British Columbia,Art as a Boundary Tool: Breaking Down Barriers for Sustainable Landscapes,"$17,500.00",2022-2023,766
"Wright, Ella",The University of British Columbia,"Compassion Fatigue, Moral Distress and Burnout in International Development; a focus on Education Development Professionals","$35,000.00",2022-2023,767
"Wright, Matthew",The University of British Columbia,Understanding public support for cultural pluralism in immigrant-receiving countries,"$37,864.00",2022-2023,435
"Wu, Chunhua",The University of British Columbia,"Incentives, Content Contribution, and Access Equality in an Online Health Community","$30,800.00",2022-2023,435
"Wu, Helena",The University of British Columbia,Hong Kong Studies,"$120,000.00",2022-2023,950
"Wu, Helena",The University of British Columbia,State of Hong Kong Studies: An International Workshop,"$25,000.00",2022-2023,611
"Wu, Ruo Qing",The University of British Columbia,Leveraging Intangible Cultural Heritage in the Transformation of Vancouver's Chinatown,"$17,500.00",2022-2023,766
"Wylie, Margaret A.",The University of British Columbia,Philosophy of the Social and Historical Sciences,"$200,000.00",2022-2023,950
"Xiang, Ran",The University of British Columbia,A cultural analysis of the tea ceremony as a form of aesthetic pedagogy,"$30,000.00",2022-2023,752
"Yakashiro, Nicole",The University of British Columbia,The tastes of settler colonialism: tracing alternative food histories on Indigenous territory,"$35,000.00",2022-2023,767
"Yang, Bicheng",The University of British Columbia,Salesforce Management using Monetary and Non-Monetary Incentives,"$17,025.00",2022-2023,435
"Yates, Caitlyn",The University of British Columbia,The Invisibilization of Extra-Continental Migration in Latin America: Social Silencing and Agency-Driven Mobility Resistances,"$50,000.00",2022-2023,770
"Yeung, Ira IY.",The University of British Columbia,High on Accounting? Do Marijuana Companies' Financial Statements Mislead Investors?,"$8,455.00",2022-2023,435
"Yi, Christina",The University of British Columbia,Literatures of dislocation:  repatriation and the remnants of empire,"$14,627.00",2022-2023,435
"Yoon, Florence",The University of British Columbia,The character-object spectrum in Greek Tragedy,"$9,300.00",2022-2023,435
"Yoon-Potkins, Qwisun M.",The University of British Columbia,Reimagining Sexual Health Education: Centering Youths' Perspectives,"$17,500.00",2022-2023,766
"Yu, Lingtao",The University of British Columbia,Motivation Matters...Or Not? Revisiting the Consequences of Abusive Supervision,"$43,374.00",2022-2023,435
"Yu, Lingtao",The University of British Columbia,Rethinking the Nature of Abusive Supervision,"$42,000.00",2022-2023,430
"Yuen, Francis",The University of British Columbia,Examining the origins of dehumanization in preverbal infants,"$20,000.00",2022-2023,752
"Zago, Martina",The University of British Columbia,"Standards of Civilization: Art, Law and Empire, 1798-1945","$20,000.00",2022-2023,752
"Zajko, Mike",The University of British Columbia,Automating Regulation: Artificial Intelligence and the Future of Governance,"$16,561.00",2022-2023,430
"Zareian, Bita",The University of British Columbia,The effect of rumination on intra- and interpersonal wellbeing,"$35,000.00",2022-2023,767
"Zebehazy, Kim T.",The University of British Columbia,Investigating the Executive Functioning Profiles of Students with Visual Impairments,"$32,124.00",2022-2023,435
"Zeni, Megan",The University of British Columbia,"No child left inside: loose parts, risky play, and teachers' perceptions of risk associated with playful learning outside the classroom","$20,000.00",2022-2023,752
"Zhang, Anming",The University of British Columbia,Tradable permits versus congestion fees for transportation facilities with uncertain supply and demand,"$47,249.00",2022-2023,435
"Zhang, Li J.",The University of British Columbia,Financial Analyst's Conflicts of Interest during M&A deal and activist short campaign,"$17,112.00",2022-2023,435
"Zhao, Jiaying",The University of British Columbia,Behavioural Sustainability,"$100,000.00",2022-2023,950
"Zhao, Jiaying",The University of British Columbia,Can we integrate happiness science and climate science to reduce carbon emissions?,"$19,676.00",2022-2023,435
"Zheng, Xin",The University of British Columbia,Is Regulatory Transparency a Double-Edged Sword?,"$21,465.00",2022-2023,435
"Zhou, Mi",The University of British Columbia,Digital education analytics leveraging interpretable features with machine learning,"$27,735.00",2022-2023,430
"Zhou, Yang-Yang",The University of British Columbia,Rejecting Coethnicity: the Politics of Migrant Exclusion by Minority Citizens,"$24,425.00",2022-2023,430
"Zhu, Ma",The University of British Columbia,Assessing resilience: Do Chinese international students and Canadian domestic students process resilience items differently?,"$20,000.00",2022-2023,752
"Zou, Zhengbo",The University of British Columbia,Social-emotional intelligence in construction robots: reducing barriers for dynamic human-robot collaboration in construction environments,"$118,862.00",2022-2023,940
"Zumbo, Bruno D",The University of British Columbia,Psychometrics and Measurement,"$200,000.00",2022-2023,950
Source: SSHRC,,,,,
*The number displayed corresponds to the number of payments made during the course of a fiscal year rounded off to whole numbers.  This is not necessarily the same as the number of projects that received payments though it will be very close.,,,,,
