"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
41577,"Integrated SOILRES platform for advanced study of soil processes driving agroecosystem resilience under climate change","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jean-Thomas Cornelis","Jean-Thomas Cornelis","British Columbia",Vancouver,University,"The University of British Columbia",,"Soil chemistry (except carbon sequestration science)","soil abiotic processes, soil chemistry, biota-mediated soil processes, soil quality, biogeochemistry, soil-plant feedback interactions, agriculture, resilience wet chemistry, discrete analyzer, TOC Analyzer, Multiwave digestion, Rhizonboxes",2021,23-Nov-21,$125000
40825,"Investigating Parent-Adolescent Dynamics in the Emotion Dynamics Lab","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jessica Lougheed","Jessica Lougheed","British Columbia",Vancouver,University,"The University of British Columbia",,"Developmental psychology","Research on parent-adolescent emotion dynamics and associations with mental health and relationship functioning System for digital audio/video recording and data collection of human behaviour",2021,23-Mar-21,$92187
41104,"Investigating the Mechanobiology of Diseases at the Single-Molecule Level","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Isaac Li","Isaac Li","British Columbia",Vancouver,University,"The University of British Columbia",,"Biophysical chemistry","biophysics, single-molecule method, mechanobiology, physical chemistry, DNA nanotechnology, force sensors, imaging, adhesion, cell mechanics Bio-AFM (Atomic force microscope integrated with a fluorescence microscope)",2021,14-Jun-21,$200000
41161,"Laboratory for Emerging-research in Aerial Visual Extended Surveillance","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Mohamed Shehata","Mohamed Shehata","British Columbia",Vancouver,University,"The University of British Columbia",,"Computer vision in artificial intelligence","Aerial visual surveillance, computer vision and image processing, object detection and tracking, unmanned aerial vehicles, 3D reconstruction. multi-rotor UAV, Embedded systems, Cameras, GPU, Computing workstations",2021,14-Jun-21,$116854
42074,"Language and Development Lab","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alexis Black","Alexis Black","British Columbia",Vancouver,University,"The University of British Columbia",,"Phonetics and speech sciences","language acquisition, infancy, neuroimaging, speech perception, word learning functional near infrared spectroscopy; EEG; eye-tracking",2021,23-Nov-21,$92999
41710,"Mapping the Virus-Immune Interactome","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Maria Tokuyama","Maria Tokuyama","British Columbia",Vancouver,University,"The University of British Columbia",,"Innate immunity","Immune Virus Interactome Atlas (IVIA) lab to uncover novel virus-immune interactions that affect health and disease outcomes. Transcriptomic, Proteomic, BSL2+, Computational Facilities",2021,14-Jun-21,$150000
40728,"Maximizing value creation from Canada's forests","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Dominik Roeser","Dominik Roeser","British Columbia",Vancouver,University,"The University of British Columbia",,"Forestry sciences","forest technology, forest machine operators, operator performance, machine learning, productivity, field sampling, field monitoring forest machine simulator, field vehicle, data management",2021,23-Mar-21,$90684
41110,"Metabolic monitoring of immune cell function","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ramon Klein Geltink","Ramon Klein Geltink","British Columbia",Vancouver,University,"The University of British Columbia",,"Tumour immunology","Live cell monitoring, Metabolism, Immunometabolism, Mitochondria, Nutrient Sensing, Flowcytometry BD Fortessa X20 flowcytometerSample heater with circulating water bath",2021,23-Nov-21,$125000
41228,"Modern Data Analysis Tools for Reaction Discovery and Development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jolene Reid","Jolene Reid","British Columbia",Vancouver,University,"The University of British Columbia",,"Organic chemistry","asymmetric catalysis, DFT modeling, data chemistry, organic method development, statistical modeling, catalyst discovery, noncovalent interactions, mechanism analytical equipment, purification tools, computer equipment, software licenses",2021,23-Mar-21,$125000
41570,"Multifunctional borylenes for metal and boron-mediated reactions","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Conor Pranckevicius","Conor Pranckevicius","British Columbia",Vancouver,University,"The University of British Columbia",,"Inorganic green chemistry","Metal-mediated catalysis, metal-free catalysis, inorganic materials, catalysis Inert atmosphere glovebox,Single crystal x-ray diffractometer",2021,14-Jun-21,$125000
41632,"Musculoskeletal Health and Mobility Laboratory Infrastructure","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jackie Whittaker","Jackie Whittaker","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical therapy","Musculoskeletal Health, Musculoskeletal Rehabilitation, Osteoarthritis, Prevention, Clinical Outcomes, Mobility, Exercise Fidelity Dynamometry, Motion Analysis, Video Conferencing, Ultrasound Imaging",2021,14-Jun-21,$125000
41244,"Optical Coherence Tomography to Phenotype Small Airways in Chronic Obstructive Pulmonary Disease","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Janice Leung","Janice Leung","British Columbia",Vancouver,University,"The University of British Columbia",,"Respiratory diseases","optical coherence tomography, bronchoscopy, COPD, airway, epithelium optical coherence tomography and bronchoscopy",2021,14-Jun-21,$124382
41167,"Patient-Oriented Health Economics Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Jennifer Davis","Jennifer Davis","British Columbia",Vancouver,University,"The University of British Columbia",,"Health care effectiveness and outcomes","research development, health economics, patient-oriented patient-oriented health economics computer lab,",2021,14-Jun-21,$85168
40590,"Pediatric Brain Development & Rehabilitation","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Jill Zwicker","Jill Zwicker","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","child, neurodevelopment, motor skills disorder, brain imaging, MRI, brain development, brain plasticity, rehabilitation, occupational therapy computer systems, IT set-up, secure server storage, motor assessments",2021,23-Mar-21,$120384
41103,"Persistent symptoms after concussion: Psychological mechanisms and treatment","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Noah Silverberg","Noah Silverberg","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","Functional neurological symptoms, cognitive complaints, metacognition, concussion, traumatic brain injury Telehealth,neuropsychological tests,evoked-response potentials,skin conductance",2021,23-Mar-21,$125000
41238,"Probing the interaction between representations and behavior underlying navigation","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Manu Sasidharan Madhav","Manu Sasidharan Madhav","British Columbia",Vancouver,University,"The University of British Columbia",,"Behavioural neuroscience of learning and memory","cognitive map, spatial navigation, virtual reality, neurophysiology, path planning, hippocampus, learning and memory, place cells, neural representations Custom apparatus to perform behavioral and neural recording in rodents",2021,14-Jun-21,$125000
42111,"Quantitative Ecology Laboratory with a Focus on Animal Conservation","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Michael Noonan","Michael Noonan","British Columbia",Vancouver,University,"The University of British Columbia",,"Ecology (except applications)","Animal tracking, Autocorrelation, Continuous-time stochastic processes, GPS Advanced research computing and field equipment",2021,23-Nov-21,$114842
41164,"RNA Enhancement And Clinical Translation (REACT) Platform","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Anna Blakney","Anna Blakney","British Columbia",Vancouver,University,"The University of British Columbia",,Nanomedicine,"RNA vaccines, immunoengineering, self-amplifying RNA, drug delivery, gene therapy, antibody therapy, human tissue RNA hoods, incubators, balance, plate reader, freeze drier, centrifuges",2021,23-Mar-21,$125000
41223,"Sensory system adaptions through electroreception: from molecules to behaviour","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Benjamin Matthews","Benjamin Matthews","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","The establishment of a one of kind lab with facilities for molecular genetics, aquatic neurophysiology, and aquatic behavioural research molecular genetics, aquatic neurophysiology, and aquatic behaviour facilties",2021,23-Mar-21,$380000
41249,"Single-molecule and single-cell microscopy platform for therapeutics research and development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Sabrina Leslie","Sabrina Leslie","British Columbia",Vancouver,University,"The University of British Columbia",,"Classical physics","Single-molecule imaging, biophysics, oligonucleotide therapeutics, nanoparticles, single-cell imaging, nucleic acid hybridization, drug discovery High resolution microscopy, molecular/cell biology, engineering, computation",2021,23-Mar-21,$462446
40383,"Site/ation Studio: Indigenous Land as Art","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Tania Willard","Tania Willard","British Columbia",Vancouver,University,"The University of British Columbia",,"Arts (arts, history of arts, performing arts, music), architecture and design","decolonial aesthetics, Indigenous resurgence, land-based technology, outdoor projection, community art, performance, Indigenous art, visual arts, Studio, field research, Indigenous Art, land-based, eco-art",2021,23-Mar-21,$125000
41226,"Sonic Production, Intelligence, Research, and Applications Lab (SPIRAL)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Miles Thorogood","Miles Thorogood","British Columbia",Vancouver,University,"The University of British Columbia",,"User-adaptive and personalized systems","Computer Assisted Creativity, Creative A.I., Sound Design, Automated Tools  Audio research equipment",2021,14-Jun-21,$106222
40586,"Spatial Single Cell Imaging in the Lung","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Tillie-Louise Hackett","Tillie-Louise Hackett","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Spatial imaging, Single-cell, Pathobiology, Asthma, COPD, Biobanking, Spatial Single Cell Imaging Mass Cytometry",2021,23-Mar-21,$125000
41129,"The Canadian Arcminute Resolution Magnetoionic Medium Survey (CARMIMS)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alex Hill","Alex Hill","British Columbia",Vancouver,University,"The University of British Columbia",,"Galactic astronomy","Radio astronomy, Magnetic fields, Interstellar Medium DRAO Synthesis Telescope",2021,23-Nov-21,$140000
41718,"The Experimental Linguistics and Fieldwork Lab","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Christopher Hammerly","Christopher Hammerly","British Columbia",Vancouver,University,"The University of British Columbia",,"Linguistic structures (including grammar, phonology, lexicon and semantics)","syntax, semantics, memory and language, ambiguity processing, task models, language revitalization, indigenous languages language processing, speech recording, fieldwork, eye tracking",2021,14-Jun-21,$61152
41234,"The RNA Regulation Laboratory (RRL): A platform for discovering the roles of RNA regulation in autism spectrum disorders","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ethan Greenblatt","Ethan Greenblatt","British Columbia",Vancouver,University,"The University of British Columbia",,"Molecular genetics","microscopy, next generation sequencing, translation, CRISPR, autism, fertility, RNA Zeiss LSM 900 with Airyscan 2,Drosophila culturing, library construction",2021,23-Mar-21,$220000
41665,"Toward Autonomy and Resilience of Control Systems Using an Industry 4.0 Platform","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ahmad Al-Dabbagh","Ahmad Al-Dabbagh","British Columbia",Vancouver,University,"The University of British Columbia",,"Networked control systems","Control, monitoring, automation, fault diagnosis, cyber security, alarm management, human-machine interface/interaction, and decision support tools Manufacturing processes, mobile robots, PLC, HMI, MES, networks, and instruments",2021,14-Jun-21,$125000
41444,"Truth and Trust Lab: A Request for Observational, Physiological, and Social Judgment Research Infrastructure","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Leanne ten Brinke","Leanne ten Brinke","British Columbia",Vancouver,University,"The University of British Columbia",,"Social  psychology","trust, deception, communication, nonverbal behaviour renovation, behavioural observation, physiological suite, social judgment",2021,23-Nov-21,$121376
40571,"UBC Nutritional Epidemiology and Big Data Analytics Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Mahsa Jessri","Mahsa Jessri","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Nutritional Epidemiology; Public Health Policy; Big Data Analytics; Predictive and Microsimulation Modelling; Machine Learning; Biostatistics; Decision tool Workstations; Computer Accessories; Software; Infrastructure Renovation",2021,23-Mar-21,$125000
41724,"Using fNIRS to Uncover Neurodevelopmental Difference arising from Prematurity","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Lauren Emberson","Lauren Emberson","British Columbia",Vancouver,University,"The University of British Columbia",,"Developmental psychology","neural development, fNIRS, prematurity, learning, cognitive development fNIRS, eye tracking, audiovisual experimental apparatus, data analysis",2021,14-Jun-21,$245000
41662,"µXRF mapping for mineral exploration and mineral processing","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Shaun Barker","Shaun Barker","British Columbia",Vancouver,University,"The University of British Columbia",,"Economic geology","micro x-ray fluorescence, mineralogy, mineral chemistry Micro x-ray fluorescence scanner",2021,14-Jun-21,$125000
43737,"3D-MARVIN: 3D Microstructural Analysis, Reconstruction, Visualization & INspection","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ben Britton","Ben Britton","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering, n.e.c.","3D materials characterisation, advanced manufacturing scanning electron microscope, 6 axis robot, mechanical polishing system",2022,22-Nov-22,$250000
43349,"A platform for integrative analysis of single-cell genomics data to study tissue biology and diseases","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Jiarui Ding","Jiarui Ding","British Columbia",Vancouver,University,"The University of British Columbia",,"Algorithms and computational genomics","Bioinformatics, Single-cell Genomics, Machine Learning, Probabilistic Deep Learning, Latent Variable Model, Interpretable Model, Cancer, Food Allergy Graphics processing unit; Storage",2022,22-Nov-22,$125000
43666,"Advanced laser ablation spectroscopy: a green path to Canada's critical minerals","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","David Jones","David Jones, Bernhard Klein","British Columbia",Vancouver,University,"The University of British Columbia",,"Nonlinear optics and spectroscopy","Laser Ablation Spectroscopy, Sensor Based Sorting, Critical Minerals, Sustainable Mining, Ore Body Knowledge, Realtime Geometallurgical, Dual Comb Spectroscopy Laser Ablation Spectroscopy Systems",2022,22-Nov-22,$520000
42751,"BOLSTER-3-Pathogen Research: Building Operational Laboratory Strength To Enhance Risk 3 Pathogen Research","Biosciences Research Infrastructure Fund","Biosciences Research Infrastructure Fund","Mel Krajden","Linda Hoang, Catherine Hogan, Agatha Jassem, James Johnston, Mel Krajden, Muhammad Morshed, Natalie Prystajecky, Inna Sekirov, Mayank Singal, Danuta Skowronski","British Columbia",Vancouver,University,"The University of British Columbia",,Microbiology,"risk group 3 pathogens, emerging pathogens, viruses and viral culture, tuberculosis, SARS-CoV-2 CL3 lab, decontamination systems and equipment, autoclaves, built-in redundancy",2022,4-Oct-22,$4148345
43618,"BRAvE at BCCH","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Gregor Reid","Chris Maxwell, Gregor Reid, Suzanne Vercauteren","British Columbia",Vancouver,University,"The University of British Columbia",,"Pediatric cancer","cancer biology, children, youth, modelling, precision medicine microscopy, cell culture, live imaging, micro dissection",2022,22-Nov-22,$700000
43282,"Canada Research Chair in Spinal Cord Injury","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Brian Kwon","Brian Kwon","British Columbia",Vancouver,University,"The University of British Columbia",,"Central nervous system","spinal cord injury, translational research, animal modeling, implantable technology, hemodynamic management large animal surgical suite, fluoroscopy unit, anaesthesia delivery system, free",2022,22-Nov-22,$200000
42959,"Computational infrastructure for accelerating quantum technology","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Andrew Potter","Andrew Potter","British Columbia",Vancouver,University,"The University of British Columbia",,"Condensed matter physics","quantum computing, electronic materials high-performance computing, GPU accelerated computing",2022,14-Jun-22,$800000
43676,"Cyclic direct simple shear equipment for geotechnical earthquake engineering testing","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Trevor Carey","Trevor Carey","British Columbia",Vancouver,University,"The University of British Columbia",,"Geotechnical engineering","Geotechnical earthquake engineering; Soil liquefaction; Cascadia subduction zone; Hazard mitigation; Soil mechanics; well-graded soils;  Constant volume simple cyclic shear testing, CDSS",2022,22-Nov-22,$125000
43630,"Delineating aggressive B-cell lymphomas heterogeneity and pathogenic trajectories to optimize cell-based immunotherapies","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Laura Evgin","Laura Evgin, Leandro Venturutti","British Columbia",Vancouver,University,"The University of British Columbia",,"Cancer drug development and therapeutics","B-cell lymphoma, Pathogenesis, CAR T-cells, Immunotherapies, Tumor microenvironment, CRISPR editing, Heterogeneity. Spectral flow cytometry, Nucleofection.",2022,22-Nov-22,$250000
43542,"Emerging Technologies for Optical Wireless Communications","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jonathan Holzman","Anas Chaaban, Julian Cheng, Jonathan Holzman","British Columbia",Vancouver,University,"The University of British Columbia",,"Wireless communication systems","Optical wireless communication, free-space optical communication Computational hardware/software and optical/communication equipment",2022,22-Nov-22,$399338
42517,"Endometriosis Integrated Pain Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Paul Yong","Paul Yong","British Columbia",Vancouver,University,"The University of British Columbia",,"Obstetrics and gynecology","Endometriosis; Pelvic Pain; Sexual Pain; Dyspareunia; Dysmenorrhea Quantitative sensory testing (QST)",2022,14-Jun-22,$75001
43206,"Human Nutrition and Energy Balance in Chronic Disease Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Sarah Purcell","Sarah Purcell","British Columbia",Vancouver,University,"The University of British Columbia",,"Human nutrition and metabolism","Nutrition assessment, body composition, dietary intake, appetite, energy expenditure, obesity, chronic disease, energy balance, physical activity dual x-ray absorptiometry, indirect calorimetry, activity monitors",2022,22-Nov-22,$145000
43508,"Improving literacy outcomes for diverse students and their families in the Reading, Language, and Mathematics Lab","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Jessica Chan","Jessica Chan","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology, social and behavioural aspects, n.e.c.","Literacy, Learning Disabilities, Family Literacy, Behavioural Assessments, Parent-Child Observations, Eye-tracking Comprehensive audio/visual recordings, learning and development, human behaviour",2022,22-Nov-22,$106943
43186,"Indigenous fisheries conservation in a changing world","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Andrea Reid","Andrea Reid","British Columbia",Vancouver,University,"The University of British Columbia",,"Fisheries management","Biotelemetry, water quality monitoring, probabilistic modelling, remote fieldwork Radio telemetry, multiparamater water quality meters, computers, field truck",2022,22-Nov-22,$125000
43520,"Infrastructure for advanced spine mechanics research","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Kayla Fewster","Kayla Fewster","British Columbia",Vancouver,University,"The University of British Columbia",,"Biomechanical engineering","impact loading, injury mechanisms, ergonomics, movement dynamic materials testing device",2022,22-Nov-22,$184580
42816,"Infrastructure for AI-integrated point of care ultrasound imaging for decentralized healthcare","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ilker Hacihaliloglu","Ilker Hacihaliloglu","British Columbia",Vancouver,University,"The University of British Columbia",,"Image guided surgery systems","brain health, musculoskeletal disorders, liver disease, lung disease, kidney disease, endometriosis, liver disease ultrasound, artificial intelligence open-source ultrasound imaging platform, high-performance computing platform",2022,14-Jun-22,$158055
42566,"Infrastructure for Design, Characterization and Structural Integrity Analysis of Advanced Out-of-Autoclave Composites","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Yasmine Abdin","Yasmine Abdin","British Columbia",Vancouver,University,"The University of British Columbia",,"Composite and hybrid materials","Composite materials, Out-of-autoclave composites, Characterization methods, Fatigue, Structural reliability, In-service performance, Numerical models Environmental Chamber, Digital Image Correlation, Acoustic Emission Analysis",2022,22-Mar-22,$122974
43662,"Infrastructure for Exploring In-Situ Interfaces","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Pourang Irani","Pourang Irani","British Columbia",Vancouver,University,"The University of British Columbia",,"Human computer interaction","Human computer interaction, on-the-go computing, mobile user interfaces, immersive technologies Driving simulator, EEG headset, wearable and immersive wearable displays",2022,22-Nov-22,$225000
42836,"Infrastructure for laboratory simulations of interstellar chemistry","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ilsa Cooke","Ilsa Cooke","British Columbia",Vancouver,University,"The University of British Columbia",,Astrochemistry,"astrochemistry, physical chemistry, chemical kinetics, interstellar medium, origins of life FT-IR spectrometer, excimer laser, vacuum components",2022,14-Jun-22,$125000
43119,"Infrastructure for the field-based investigation of the impacts of climate change on sedimentary systems","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Mitch D'Arcy","Mitch D'Arcy","British Columbia",Vancouver,University,"The University of British Columbia",,Geomorphology,"Geomorphology, sedimentology, climate change, paleoclimate, geochronology, cosmogenic radionuclides, luminescence, remote sensing Field geomorphology lab, geochemistry equipment",2022,14-Jun-22,$91554
42893,"Infrastructure for Theoretical and Experimental Iron-Sulphur Laboratory at UBC Okanagan","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Robert Szilagyi","Robert Szilagyi","British Columbia",Vancouver,University,"The University of British Columbia",,"Computational chemistry","Iron-sulfur system, mineral surface, nanoparticles, molecular clusters, redox chemistry, small molecule activation, synchrotron science, computational modelling structural databases, compute nodes, glovebox, spectroscopic instruments",2022,14-Jun-22,$140000
43054,"Integrated Climate Change and Aquaculture System (ICCAS) for multi-stressor experiments on commercial juvenile fish","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Andrea Frommel","Andrea Frommel","British Columbia",Vancouver,University,"The University of British Columbia",,"Fish biology","climate change effects, fish physiology, aquaculture, fisheries management Larval fish rearing facility, gas manipulation and temperature control system",2022,14-Jun-22,$125000
42621,"Integrated in-situ observing system to track sources of atmospheric humidity in a warming Arctic","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Anais Orsi","Anais Orsi","British Columbia",Vancouver,University,"The University of British Columbia",,"Physics of snow and ice","Arctic climate change, atmospheric humidity, water isotopes, laser spectroscopy weather station, environmental monitoring, infrared laser spectroscopy",2022,22-Mar-22,$192000
42902,"Laboratory for the advanced study of dietary ecology of modern and ancient organisms","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Kendra Chritz","Kendra Chritz","British Columbia",Vancouver,University,"The University of British Columbia",,"Isotope geochemistry","stable isotopes, heavy isotopes, geochemistry, paleoecology, museum-based research mass spectrometry, amino acid extraction, non-traditional isotopes, micromill",2022,14-Jun-22,$123516
42091,"Laboratory of Next Generation Video Surveillance for Environmental Monitoring","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Shan Du","Shan Du","British Columbia",Vancouver,University,"The University of British Columbia",,"Image and video processing and analysis","Video surveillance, environmental monitoring, video analytics, leak detection, 3D reconstruction and machine learning Thermal Camera, GPU Workstation, Depth Camera, Color Camera, 3D Scanner",2022,22-Mar-22,$125000
42759,"Mental Health and Intersectionality Research Lab for Data Analytics and Digital Therapy","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Lianne Tomfohr-Madsen","Lianne Tomfohr-Madsen","British Columbia",Vancouver,University,"The University of British Columbia",,"Mental health and wellbeing","intergenerational transmission of stress, psychological intervention, counselling psychology digital health, data analysis",2022,22-Nov-22,$174772
43365,"Metabolic Caging for the Assessment of Energy Balance and Substrate Utilization in Mice","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","David Wright","David Wright","British Columbia",Vancouver,University,"The University of British Columbia",,"Animal physiology, metabolism","indirect calorimetry, energy expenditure, fat oxidation, carbohydrate oxidation, physical activity, food intake metabolic caging",2022,22-Nov-22,$125000
42549,"Microfabrication for next-generation thin film solar cells","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ian Foulds","Ian Foulds, Alexander R.  Uhl","British Columbia",Vancouver,University,"The University of British Columbia",,"Microfabrication techniques in electronics","Thin Film Solar Cells Electron Beam Evaporator",2022,22-Mar-22,$109101
42539,"Next-generation pulmonary in vitro 3D models  to unravel the role of cell-cell and multiorgan crosstalk in lung disease","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Emmanuel Osei","Emmanuel Osei","British Columbia",Vancouver,University,"The University of British Columbia",,"Cellular interactions (including adhesion, matrix and cell wall)","Lung Cell Biology, multicellular interaction, epigenetics, microRNAs, microvesicles, exosomes, multiorgan interaction, gut-lung axis, immunity, fibrosis 3D Bioprinter, Multiorgan-on-a-chip, Flexcell tension, BSC, LN tank, Freezers",2022,22-Mar-22,$150000
42967,"Optimization of Electron-beam Facilities for Earth Materials Research","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Brendan Dyck","Brendan Dyck","British Columbia",Vancouver,University,"The University of British Columbia",,"Metamorphic petrology","Material characterization; electron-beam microanalysis; Trace element detection; mineral systems Electron backscattered diffraction detector; cathodoluminescence; EMPA-EDS",2022,14-Jun-22,$156000
42677,"Precision Oncology for Gynecologic Cancers","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Jessica McAlpine","Jessica McAlpine","British Columbia",Vancouver,University,"The University of British Columbia",,"Cancer molecular targets","gynecologic cancer, prognostic/predictive biomarkers, molecular classification tools, therapeutic targets, risk stratification molecular interrogation, live cell imaging analysis, cell culture, drug screen",2022,14-Jun-22,$325000
43691,"Pulsars and Gravitational Waves: a New Window to the Extreme Universe","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ingrid Stairs","Jessica McIver, Ingrid Stairs","British Columbia",Vancouver,University,"The University of British Columbia",,"General relativity and gravitational waves in astronomical and space sciences","gravitational waves, pulsars, time series analysis, galactic astronomy, detector characterization, software pipeline automation  Instrumentation, computing, software pipelines",2022,22-Nov-22,$750000
43178,"RNA biology in Hematological Malignancies","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Ly Vu","Ly Vu","British Columbia",Vancouver,University,"The University of British Columbia",,"Hematological tumours","RNA biology, hematological malignancies, leukemia tissue culture, blood cell analysis, gene transfer",2022,22-Nov-22,$125000
41558,"Sexuality and Well-being (SWell) Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Samantha Dawson","Samantha Dawson","British Columbia",Vancouver,University,"The University of British Columbia",,"Sexual identity, sexual attraction and sexual behaviour","sexual dysfunction, sexual health, attention, psychophysiology, sexual arousal, dyadic, longitudinal, intervention, emotion regulation renovations, eye tracking, psychophysiology, observational  behavioural coding",2022,22-Mar-22,$238819
